Station,Total_influx_2012,Total_influx_2013,Total_influx_2014,Total_influx_2015,Total_influx_2016,Total_influx_2017,Total_influx_2018,Total_influx_2019,Latitude,Longitude
20 de Noviembre,367033,3269417,3607568,3874660,4150150,4215476,4326521,2480476,19.37192372,-99.17099833
Acatitla,5182670,4949291,4961783,3768231,4832704,4905853,5340589,3270609,19.3642515,-99.00597811
Aculco,3670704,3486566,3416587,3436202,3247038,3152734,3523188,2040507,19.37292574,-99.10739779
Agricola Oriental,3724121,3470231,3874686,3795431,3626499,3651505,3933652,2345852,19.40404596,-99.06982541
Allende,14245066,14078777,12681968,11808693,11425327,10920111,10605916,5847670,19.43547387,-99.13670897
Apatlaco,4832943,4370291,4811139,5073278,5243455,5332327,4894955,2949629,19.378298,-99.10934
Aquiles Serdan,7146988,6317053,5904210,5612941,6057188,5765053,5803378,3279949,19.489367,-99.194511
Aragon,2929011,2732838,2703820,2669995,2619656,2624161,2733501,1570730,19.45101356,-99.09598231
Atlalilco,6923536,8993418,19969711,19224328,9987470,9822993,10606560,6219024,19.35570839,-99.10157204
Auditorio,11000976,10900220,11063269,11520226,12218504,12096093,11693911,7372418,19.42530549,-99.19173717
Autobuses del Norte,8892726,9019743,8637817,8591750,8682345,8211462,8357253,4680911,19.478595000000002,-99.14047099999999
Azcapotzalco,2712965,2630544,2834420,3166394,3058994,2970709,2935018,1647256,19.49067553,-99.18621182
Balbuena,8392031,5738939,5442959,5095489,4942850,4551153,4791005,2783452,19.42288725,-99.10281658
Balderas,12405010,11119396,11287903,11172304,11136384,10650748,10348712,5855103,19.42692438,-99.14881109999999
Barranca del Muerto,11918034,13802760,13282149,13694853,14508378,15078243,16085373,9500034,19.361488199999997,-99.18895841
Bellas Artes,16206740,18260665,18080634,19652747,20105901,19419770,19340059,12534182,19.43649573,-99.14061427
Blvd. Puerto Aereo,15955571,11028780,10768640,10789494,9663402,9012202,8351742,5054043,19.41958866,-99.09606814
Bondojito,2587731,2372217,2323324,2438388,2459781,2296986,2393689,1341692,19.46450842,-99.1117537
Bosque de Aragon,2515504,2561524,2439730,2416316,2496091,2352976,2234978,1167794,19.45807473,-99.06927824
Buenavista,19339419,21180420,20722413,21507558,21423610,21644709,22023270,12474577,19.44615757,-99.15289879
Calle 11,594520,4493840,858889,635128,4425985,4688487,5013591,2996583,19.32025578,-99.08486724
Camarones,5652396,5512976,5420195,5503112,5508612,5285813,5694915,3298864,19.47873042,-99.18894768
Canal de San Juan,4812479,4877568,4829138,4417962,4621885,4547862,4440479,2613989,19.39821706,-99.05969739
Canal del Norte,3170307,3408574,3305855,3366157,3252661,3239834,3265854,1818125,19.44866652,-99.11589503
Candelaria,11074886,11397227,12026459,12086671,11901331,11494887,11347450,6428141,19.42909974,-99.11989689
Centro Medico,12193702,13337638,12845255,12864898,13120811,12853598,13213080,6805899,19.40636329,-99.15504456
Cerro de la Estrella,7139771,4366303,4152718,3692482,4022013,4062511,4326059,2526790,19.355601,-99.085872
Chabacano,17759590,14080374,14995687,15599469,15664446,15686927,16416745,8903161,19.408513,-99.135489
Chapultepec,17522093,20515860,20433581,21602139,20586480,19281783,19363646,11267894,19.42025648,-99.17658806
Chilpancingo,11246708,16785180,15546166,16205591,16059326,15544376,14924903,7699003,19.40575613,-99.1683054
Ciudad Azteca,23647562,23999979,22693910,23268879,22574939,20861402,21343822,12438922,19.53444312,-99.02711391
Ciudad Deportiva,7049477,3269661,3107334,2426932,2408254,2401534,2443174,1302894,19.40811392,-99.09135818
Colegio Militar,6524941,5723025,5774657,5753827,5556209,5511466,5592756,3092839,19.44864628,-99.17122364
Constitucion de 1917,26456800,30304731,31817841,35605628,33271713,30795626,31911394,18464916,19.345135,-99.063367
Constituyentes,4186337,3655930,3516304,3091622,3178801,3050791,3227704,1860639,19.41129131,-99.19138312
Consulado,3968880,3551020,3460147,3497252,3389795,3366155,3430763,1947372,19.45682033,-99.11388874
Copilco,14457726,15226335,14898388,13764580,14958149,14981668,14645189,7614631,19.33597857,-99.17657733
Coyoacan,8586901,10029709,9679497,9216965,8719798,8699196,9451638,5662789,19.36142746,-99.17056918
Coyuya,8071336,7866281,7267919,7502640,7611525,7674640,8279437,4862259,19.39769,-99.113413
Cuatro Caminos,42933161,46056083,41904523,40423144,38962862,39364914,39886917,22001329,19.458454,-99.21464300000001
Cuauhtemoc,7931980,7588755,7842706,8350845,8512525,7812188,8235598,4766605,19.42565962,-99.15455103
Cuitlahuac,9152484,7678662,7228431,7103440,7010603,6732158,6819391,3875070,19.45668,-99.181555
Culhuacan,536523,4097340,798544,589953,4310520,4750865,5277511,3119724,19.33887391,-99.10894275
Deportivo Oceania,6793016,6397418,5987504,6190169,5966690,5506834,5589942,3151845,19.45077077,-99.07917023
Deptvo. 18 de Marzo,17619212,17079929,16027576,15408436,14040651,13691285,13868622,7265975,19.48358544,-99.12576556
Division del Norte,7485109,7614497,7247832,7107748,7106344,6706794,6771499,3795499,19.3789276,-99.15950775
Doctores,4711282,4295756,4330179,4455344,4519391,4270296,4393370,2601703,19.42049932,-99.14335012
Eduardo Molina,2915243,2778187,2704567,2666483,2558663,2437928,2561895,1413558,19.45112485,-99.10544515
Eje Central,318716,2727154,2434342,2417695,3331007,3493383,3826126,2317674,19.36118453,-99.15133238
El Rosario,22111456,20081717,19793075,7024442,20343288,19422170,19551711,6858746,19.50522896,-99.19948339
Ermita,10518251,9478747,8731425,8642618,9631903,9786050,9864229,5601879,19.36030391,-99.1448307
Escuadron 201,8902300,8593219,8444834,8492915,8607804,8250338,8679031,4672812,19.36449442,-99.10931826
Etiopia,8833618,11355237,10921783,10885672,11055480,10892033,11106302,6195149,19.39604129,-99.15617108
Eugenia,7594542,6711970,6658355,6669576,6721700,6659665,6694794,3876872,19.38628539,-99.15724397
Ferreria,7296528,8116118,7843776,8792855,8644085,8299914,8737309,4854924,19.49039233,-99.173702
Fray Servando,2640578,2990366,2884276,2955405,2964350,3043479,3182617,1726083,19.42149092,-99.12033677
Garibaldi,18937524,11091254,11018105,10161620,9466095,8877936,8916507,7003776,19.443082,-99.139034
General Anaya,11001096,11870161,11993457,11970766,10649317,10477674,10111964,5215681,19.35319801,-99.14478779
Gomez Farias,13689263,15262126,15350466,15129911,14170037,11938118,12161295,6243719,19.41608763,-99.09070373
Guelatao,8867578,6339908,6376070,8271546,6836208,6469026,6852441,4364540,19.38459525,-99.03579354
Guerrero,9140888,6631372,6660914,6410031,6198407,5994455,6085540,4413640,19.44522682,-99.1463542
Hangares,1902550,1864860,1784681,1877580,1804140,1850363,1894220,1076985,19.423251,-99.08709499999999
Hidalgo,18835604,20628093,19675849,20172169,18195955,16689689,16684747,10961442,19.4376997,-99.14730906
Hospital General,8395708,8904046,8815281,8566280,8449620,8035005,7882229,4353928,19.41369961,-99.1531992
Impulsora,10917327,10258979,9418656,9069981,9300528,8677537,8927903,5164347,19.484987,-99.048743
Indios Verdes,40125405,45476701,44066501,43952837,42908356,40218841,40302169,22347593,19.495314999999998,-99.119141
Inst. del Petroleo,3978411,3572734,3380971,3526843,3333268,3308261,3398008,1936585,19.48983606,-99.14455175
Insurgentes,16627698,21933745,22607506,23113713,21737014,20271258,20092422,11761808,19.42359552,-99.16325212
Insurgentes Sur,935315,8056989,8350246,8977247,10534634,11182761,12182849,7341870,19.37360387,-99.17859435
Isabel la Catolica,9040676,8921844,8731440,8494830,8671069,8609467,8495815,4740844,19.4260947,-99.13782477
Iztacalco,6759849,7889601,7604880,7759199,7949025,7666917,7919352,4464519,19.388092,-99.112086
Iztapalapa,4894783,4414140,3227677,3424030,3267242,3625823,3969098,2331262,19.35760127,-99.09341812
Jamaica,7359902,7025917,6695799,7213728,7056588,7101963,7400916,3845251,19.41014786,-99.12203193
Juanacatlan,7034456,4862266,4672595,4546682,4446100,4153639,4314756,2462803,19.41290022,-99.18207049
Juarez,6934712,7398241,7037722,6786145,6840125,6495647,6400618,3565394,19.43336942,-99.14771676
La Paz,10561801,11527646,12778556,9662146,12410669,13869132,14737134,8846664,19.35048513,-98.96061659
La Raza,16314295,16265072,15693593,15639555,14721519,15458936,15386591,12920310,19.46907052,-99.13904786
La Viga,3064787,2522565,2470567,2504240,2575023,2350772,2635022,1588106,19.406106,-99.125973
La Villa-Basilica,4970808,5562583,5302469,5855376,5674969,5624559,5635079,3057439,19.4814715,-99.11815882
Lagunilla,8880431,10282763,10025696,9678145,9434444,8885979,8811544,4765054,19.44300109,-99.13107634
Lazaro Cardenas,5873062,4847806,4566074,4570492,4574899,4341319,4385713,2199438,19.40702104,-99.14433718
Lindavista,6859088,4783264,4870684,5932906,6429652,6530738,6694207,3692566,19.4875806,-99.13434863
Lomas Estrella,357639,2820339,561677,419847,3476299,4031403,4376819,2548312,19.322001999999998,-99.096696
Los Reyes,7079553,6572638,6890741,5270811,6646731,6731039,5828441,3474652,19.35877546,-98.97670984
Martin Carrera,18684640,20311869,19724636,20498520,18515788,18906823,19282436,10398663,19.4837675,-99.10599232
Merced,15963013,19874308,19652429,19444093,19312283,18149919,17833957,10016484,19.42546738,-99.12541151
Mexicaltzingo,545069,4716790,4212259,4458248,5797272,6163465,6687360,3967491,19.35744944,-99.12191391
Miguel A. de Q.,10451759,11588296,11243904,11781124,12813161,12618896,11767521,6373759,19.34651696,-99.18053627
Misterios,3224980,3062814,3049586,3005192,2985039,3000250,3061616,1666692,19.46290002,-99.13051844
Mixcoac,9245273,12197029,11801796,12540439,13282980,13822450,14243988,8039006,19.37567873,-99.18686628
Mixiuhca,7597062,7672275,7351812,7145429,7009299,6724486,6608798,3396933,19.40820499,-99.11285877
Moctezuma,15385878,11470859,9642142,9213638,8547315,7798657,8510790,4503652,19.426271,-99.109803
Morelos,4874029,4746606,4661194,4559842,4249475,4440342,4685366,3433726,19.438426,-99.11933
Muzquiz,13575862,12717810,12078962,11991588,11979577,11039075,11204236,6424876,19.50096117,-99.04171586
Nativitas,7457594,8435785,8077264,7529556,7780389,7236315,8883727,4189020,19.37938304,-99.13987398
Nezahualcoyotl,9638760,9181293,8803387,8917944,8795582,8111393,8117663,4521509,19.472534,-99.054375
Ninos Heroes,6979938,6983816,6880404,6897969,7009591,7118081,7737171,4519758,19.41946724,-99.15023804
Nopalera,641089,5100859,1044607,422079,5888690,6098309,7366927,4626554,19.29939771,-99.04621124
Normal,12640129,14522923,13353961,13685576,13393733,12954200,12895151,7110080,19.44424548,-99.1671896
Norte 45,2291655,2648537,2506044,2533688,2434878,2535279,2596118,1501482,19.48823803,-99.16249037
Obrera,6561232,4138066,4801866,5124375,4743367,4487072,4203449,2511735,19.41301153,-99.14392948
Observatorio,24936832,27105718,27036330,27711208,27732577,26764337,26970170,15301142,19.397485999999997,-99.20066899999999
Oceania,7442175,7065026,6878540,7108162,6991281,6617072,6687338,3575172,19.44572255,-99.08683062
Olimpica,7618455,7414883,6842105,6649315,6651719,6279368,6356791,3625433,19.52084286,-99.03298259
Olivos,615701,4755272,913054,373081,4789236,6750633,5975875,3653924,19.30328601,-99.05831337
Panteones,7128102,4848887,4902826,5492559,5759783,5275374,4541992,2804677,19.458219,-99.20294
Pantitlan,97178544,121556691,122512822,129415886,128758883,122493256,125926444,49829839,19.4146103,-99.07262564
Parque de los Venados,349070,2905622,2863417,3021968,3609186,3917164,4176515,2459971,19.37046623,-99.15766239
Patriotismo,7802504,6690207,6702496,6648752,6549633,6468546,6654316,3318654,19.40559422,-99.1784656
Penon Viejo,4924040,4817577,4608747,3520118,4490782,4477026,4658352,2829107,19.37291562,-99.0172863
Periferico Oriente,1098453,8239154,1558004,2164744,8363998,9114439,10775159,6781981,19.317492,-99.07471899999999
Pino Suarez,19942524,23066904,21856531,21745504,22043209,21414006,20257868,11616516,19.42543703,-99.13303971
Plaza Aragon,7869581,8051697,7463033,7384811,7516552,7067177,7428085,4111306,19.52822456,-99.02979612
Polanco,11188913,10543898,10307974,11458073,11832706,11981607,12402252,7696722,19.43337954,-99.19079304
Politecnico,12142498,12826894,12274639,12827868,12038043,11917506,12436525,7102060,19.499964000000002,-99.14880600000001
Popotla,5399442,3964761,3729954,3857093,3766005,3672167,3679693,2071243,19.45261196,-99.17546153
Portales,8887259,8452849,7954929,7855275,8090763,8076454,8658198,4773828,19.36976784,-99.14130092
Potrero,9324029,7911896,7184004,7384471,6984359,6421265,6269063,3562250,19.476413,-99.131748
Puebla,11551239,12162030,11776278,12658742,11892743,11846171,12194837,6210089,19.40697045,-99.08233523
Refineria,3855085,3578888,3525684,3440654,3841233,3718657,3944874,2304032,19.46911098,-99.18985963
Revolucion,11024639,12275047,9037751,6370493,10450175,10584664,10871623,6199217,19.43880248,-99.15389657
Ricardo Flores Magon,2539051,2492573,2376216,2019867,1957061,1990396,2045844,1241099,19.43628327,-99.10342813
Rio de los Remedios,7496788,8545140,8131707,8212009,8406660,7678199,7787996,4186224,19.49024062,-99.04635072
Romero Rubio,3616810,3552826,3431783,3291844,3001060,3011671,2863109,1679561,19.44048194,-99.09420133
Salto del Agua,15599334,16548333,16072832,15592431,15394400,13623612,13059547,8504668,19.42720768,-99.14207339
San Andres Tomatlan,380241,3136383,638775,450208,3312057,3688601,4124954,2479885,19.3272315,-99.10259128
San Antonio,5680668,5575555,5328111,5394351,5597161,5569895,5704256,3028024,19.38481791,-99.18661952
San Antonio Abad,10573208,7801693,8712209,8810733,8866883,8453384,6788829,4432751,19.4159055,-99.13429499
San Cosme,9883935,10387074,10729878,10473114,9417922,8694990,8261419,4983429,19.44185787,-99.16094542
San Joaquin,6114813,7131780,8118882,8411507,9256336,9116304,9843032,6176933,19.44553033,-99.19160843
San Juan Letran,7838062,11384382,10763293,11362912,11286742,10569327,10088092,5646211,19.43098165,-99.14116144
San Lazaro,17515310,16161429,16593908,17349867,17641650,16376779,16286672,13775812,19.431822,-99.114463
San Pedro los Pinos,4097163,3884675,4541571,4948137,5070899,4775143,4905337,2902321,19.39122414,-99.18572903
Santa Anita,6281599,3308158,3512594,3231383,3236012,3177704,3385451,1047908,19.40397512,-99.12136674
Santa Marta,9730073,9607048,9415574,7151062,9326927,9027384,9620244,5785105,19.359804,-98.99589399999999
Sevilla,9766457,11660193,11700900,12304257,12539284,11354446,11062555,6428253,19.42189565,-99.17074084
Tacuba,16431007,16930082,16706961,16795826,16586292,15619917,15054508,13560396,19.458382999999998,-99.188501
Tacubaya,43822311,33619008,33041979,33436555,33692967,32359469,32259965,22280359,19.40213338,-99.18823957
Talisman,2472665,2296547,2248090,2276807,2097842,2031195,2020237,1109717,19.47415847,-99.10779476
Tasquena,40847631,29811156,31847185,32791204,27943776,27075614,29175678,15799888,19.34400644,-99.14105415
Tecnologico,11288939,10454266,10138694,10401816,10399823,9633286,9927920,5475416,19.51470467,-99.03568625
Tepalcates,6307928,5247805,5399036,5953370,6241923,5142008,6314510,3661048,19.39072824,-99.04651165
Tepito,8622465,9453517,8634901,7855334,8151741,7558104,7942264,4510676,19.44256606,-99.12323356
Terminal Aerea,5477872,5536824,5734509,5937008,6117190,6282484,6637343,3802629,19.43380448,-99.08820391
Tezonco,730918,6137160,1234198,432408,6295461,7320523,7883028,4728555,19.306124,-99.065867
Tezozomoc,2901291,2323243,2071986,2046316,2031143,2018009,2111277,1195104,19.49448847,-99.19593215
Tlahuac,1500495,12620535,2646806,908859,14475541,15084248,18625102,11669991,19.28680057,-99.01443243
Tlaltenco,100733,783193,148671,68333,864854,898824,1118914,709992,19.294555,-99.023829
Tlatelolco,9160297,8419675,7815836,8057191,7857136,7408684,7323374,4214092,19.45520174,-99.1430819
UAM I,10858900,8854542,9234074,9113491,8796002,8846453,9406548,5198442,19.350327,-99.07480799999999
Universidad,28760314,26934814,26205477,26367195,27022576,26726286,27199538,14861953,19.32433595,-99.17407751
Valle Gomez,1681310,1621149,1607802,1636122,1657884,1620478,1662292,926427,19.45868169,-99.11988616
Vallejo,2448881,2390019,2499407,2657493,3052441,2818557,2774548,1659671,19.49031142,-99.15479779
Velodromo,3975466,3517196,3215791,3303363,3401904,3271933,3253838,1625678,19.40811392,-99.10283804
Viaducto,9682098,8596630,7903530,7711654,7597169,7591103,7713645,4208439,19.40074699,-99.13663387
Villa de Aragon,5216530,5296168,4979959,5084941,5147843,5025145,5314564,2951006,19.4613523,-99.06114578
Villa de Cortes,7869692,7030335,6974986,6881406,6772031,6477842,6162928,3627384,19.38746949,-99.13862944
Viveros,10018003,9181461,8676216,8517180,8495111,8034608,7829573,4458305,19.35376487,-99.17542934
Xola,10803113,7943060,7539018,7954990,7785715,7698179,8037593,4689290,19.3950293,-99.13758874
Zapata,12192079,15541824,14243584,14438725,14405744,14396276,13955475,10568506,19.370547199999997,-99.16540861
Zapotitlan,556812,4099359,785447,315689,4134438,3947346,4614901,2822496,19.29639028,-99.03402328
Zaragoza,19636440,22357078,19655974,20570498,19093141,18655391,18168605,10048563,19.41179726,-99.08322573
Zocalo,19651029,25244785,26402602,26229616,26678428,25648342,26421132,14917058,19.432602,-99.131879
