Geometry,stop_id,stop_code,stop_station,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint
"{u'type': u'Point', u'coordinates': [-99.17122364, 19.44864628]}",14124,,Colegio Militar,Metro 2,19.44864628,-99.17122364,Cuatro Caminos - Tasquena,METRO,"19.44864628, -99.17122364"
"{u'type': u'Point', u'coordinates': [-99.17658806, 19.42025648]}",14119,,Chapultepec,Metro 1,19.42025648,-99.17658806,Observatorio - Pantitlan,METRO,"19.42025648, -99.17658806"
"{u'type': u'Point', u'coordinates': [-99.10934, 19.378298]}",14095,,Apatlaco,Metro 8,19.378298,-99.10934,Garibaldi - Constitucion de 1917,METRO,"19.378298, -99.10934"
"{u'type': u'Point', u'coordinates': [-99.08486724, 19.32025578]}",14234,,Calle 11,Metro 12,19.32025578,-99.08486724,Tlahuac - Mixcoac,METRO,"19.32025578, -99.08486724"
"{u'type': u'Point', u'coordinates': [-99.08690572, 19.44542916]}",14061,,Oceania,Metro Linea 5 correspondencia con linea B.,19.44542916,-99.08690572,Pantitlan - Politecnico,METRO,"19.44542916, -99.08690572"
"{u'type': u'Point', u'coordinates': [-99.18686628, 19.37567873]}",132131,,Mixcoac,Metro Linea 12 correspondencia con linea 7.,19.37567873,-99.18686628,Mixcoac - Tlahuac,METRO,"19.37567873, -99.18686628"
"{u'type': u'Point', u'coordinates': [-99.08233523, 19.40697045]}",14068,,Puebla,Metro 9,19.40697045,-99.08233523,Tacubaya - Pantitlan,METRO,"19.40697045, -99.08233523"
"{u'type': u'Point', u'coordinates': [-99.136176, 19.468965]}",14103,,La Raza,Metro Linea 5 correspondencia con linea 3.,19.468965,-99.136176,Pantitlan - Politecnico,METRO,"19.468965, -99.136176"
"{u'type': u'Point', u'coordinates': [-99.12227869, 19.40894369]}",14144,,Jamaica,Metro Linea 9 correspondencia con linea 4.,19.40894369,-99.12227869,Tacubaya - Pantitlan,METRO,"19.40894369, -99.12227869"
"{u'type': u'Point', u'coordinates': [-99.15455103, 19.42565962]}",14096,,Cuauhtemoc,Metro 1,19.42565962,-99.15455103,Observatorio - Pantitlan,METRO,"19.42565962, -99.15455103"
"{u'type': u'Point', u'coordinates': [-99.173702, 19.49039233]}",14133,,Ferreria,Metro 6,19.49039233,-99.173702,Martin Carrera - El Rosario,METRO,"19.49039233, -99.173702"
"{u'type': u'Point', u'coordinates': [-99.14263129, 19.36186271]}",14086,,Ermita,Metro 2,19.36186271,-99.14263129,Cuatro Caminos - Tasquena,METRO,"19.36186271, -99.14263129"
"{u'type': u'Point', u'coordinates': [-99.18803573, 19.45913691]}",14112,,Tacuba,Metro Linea 2 correspondencia con linea 7.,19.45913691,-99.18803573,Cuatro Caminos - Tasquena,METRO,"19.45913691, -99.18803573"
"{u'type': u'Point', u'coordinates': [-99.14105415, 19.34400644]}",14090,,Tasquena,Metro 2,19.34400644,-99.14105415,Cuatro Caminos - Tasquena,METRO,"19.34400644, -99.14105415"
"{u'type': u'Point', u'coordinates': [-99.10283804, 19.40811392]}",14176,,Velodromo,Metro 9,19.40811392,-99.10283804,Tacubaya - Pantitlan,METRO,"19.40811392, -99.10283804"
"{u'type': u'Point', u'coordinates': [-99.13758874, 19.3950293]}",14057,,Xola,Metro 2,19.3950293,-99.13758874,Cuatro Caminos - Tasquena,METRO,"19.3950293, -99.13758874"
"{u'type': u'Point', u'coordinates': [-99.063367, 19.345135]}",14202,,Constitucion de 1917,Metro 8,19.345135,-99.063367,Garibaldi - Constitucion de 1917,METRO,"19.345135, -99.063367"
"{u'type': u'Point', u'coordinates': [-99.06982541, 19.40404596]}",14070,,Agricola Oriental,Metro A,19.40404596,-99.06982541,La Paz - Pantitlan,METRO,"19.40404596, -99.06982541"
"{u'type': u'Point', u'coordinates': [-99.15133238, 19.36118453]}",14239,,Eje Central,Metro 12,19.36118453,-99.15133238,Tlahuac - Mixcoac,METRO,"19.36118453, -99.15133238"
"{u'type': u'Point', u'coordinates': [-99.17657733, 19.33597857]}",14075,,Copilco,Metro 3,19.33597857,-99.17657733,Indios Verdes - Universidad,METRO,"19.33597857, -99.17657733"
"{u'type': u'Point', u'coordinates': [-99.10779476, 19.47415847]}",14101,,Talisman,Metro 4,19.47415847,-99.10779476,Martin Carrera - Santa Anita,METRO,"19.47415847, -99.10779476"
"{u'type': u'Point', u'coordinates': [-99.131748, 19.476413]}",14192,,Potrero,Metro 3,19.476413,-99.131748,Indios Verdes - Universidad,METRO,"19.476413, -99.131748"
"{u'type': u'Point', u'coordinates': [-99.14638638, 19.49054404]}",42489,,Inst. del Petroleo,Metro Linea 6 correspondencia con linea 5.,19.49054404,-99.14638638,Martin Carrera - El Rosario,METRO,"19.49054404, -99.14638638"
"{u'type': u'Point', u'coordinates': [-99.1531992, 19.41369961]}",14152,,Hospital General,Metro 3,19.41369961,-99.1531992,Indios Verdes - Universidad,METRO,"19.41369961, -99.1531992"
"{u'type': u'Point', u'coordinates': [-99.14478779, 19.35319801]}",14089,,General Anaya,Metro 2,19.35319801,-99.14478779,Cuatro Caminos - Tasquena,METRO,"19.35319801, -99.14478779"
"{u'type': u'Point', u'coordinates': [-99.17099833, 19.37192372]}",14241,,20 de Noviembre,Metro 12,19.37192372,-99.17099833,Tlahuac - Mixcoac,METRO,"19.37192372, -99.17099833"
"{u'type': u'Point', u'coordinates': [-99.07434225, 19.41616858]}",14216,,Pantitlan,Metro Linea 1 correspondencia con lineas 5 9 y A.,19.41616858,-99.07434225,Observatorio - Pantitlan,METRO,"19.41616858, -99.07434225"
"{u'type': u'Point', u'coordinates': [-99.13987398, 19.37938304]}",14093,,Nativitas,Metro 2,19.37938304,-99.13987398,Cuatro Caminos - Tasquena,METRO,"19.37938304, -99.13987398"
"{u'type': u'Point', u'coordinates': [-99.11988616, 19.45868169]}",14140,,Valle Gomez,Metro 5,19.45868169,-99.11988616,Pantitlan - Politecnico,METRO,"19.45868169, -99.11988616"
"{u'type': u'Point', u'coordinates': [-99.18053627, 19.34651696]}",14082,,Miguel angel de Quevedo,Metro 3,19.34651696,-99.18053627,Indios Verdes - Universidad,METRO,"19.34651696, -99.18053627"
"{u'type': u'Point', u'coordinates': [-99.15023804, 19.41946724]}",14151,,Ninos Heroes,Metro 3,19.41946724,-99.15023804,Indios Verdes - Universidad,METRO,"19.41946724, -99.15023804"
"{u'type': u'Point', u'coordinates': [-99.13107634, 19.44300109]}",14171,,Lagunilla,Metro B,19.44300109,-99.13107634,Buenavista - Ciudad Azteca,METRO,"19.44300109, -99.13107634"
"{u'type': u'Point', u'coordinates': [-99.12191391, 19.35744944]}",14238,,Mexicaltzingo,Metro 12,19.35744944,-99.12191391,Tlahuac - Mixcoac,METRO,"19.35744944, -99.12191391"
"{u'type': u'Point', u'coordinates': [-99.148806, 19.499964]}",14188,,Politecnico,Metro 5,19.499964,-99.148806,Pantitlan - Politecnico,METRO,"19.499964, -99.148806"
"{u'type': u'Point', u'coordinates': [-99.19160843, 19.44553033]}",14113,,San Joaquin,Metro 7,19.44553033,-99.19160843,Barranca del Muerto - El Rosario,METRO,"19.44553033, -99.19160843"
"{u'type': u'Point', u'coordinates': [-99.04651165, 19.39072824]}",14200,,Tepalcates,Metro A,19.39072824,-99.04651165,La Paz - Pantitlan,METRO,"19.39072824, -99.04651165"
"{u'type': u'Point', u'coordinates': [-99.131879, 19.432602]}",14136,,Zocalo,Metro 2,19.432602,-99.131879,Cuatro Caminos - Tasquena,METRO,"19.432602, -99.131879"
"{u'type': u'Point', u'coordinates': [-99.14455175, 19.489836060000002]}",14194,,Inst. del Petroleo,Metro Linea 6 correspondencia con linea 5.,19.48983606,-99.14455175,Pantitlan - Politecnico,METRO,"19.48983606, -99.14455175"
"{u'type': u'Point', u'coordinates': [-99.14681554, 19.43674867]}",14168,,Hidalgo,Metro Linea 3 correspondencia con linea 2.,19.43674867,-99.14681554,Indios Verdes - Universidad,METRO,"19.43674867, -99.14681554"
"{u'type': u'Point', u'coordinates': [-99.112086, 19.388092]}",14094,,Iztacalco,Metro 8,19.388092,-99.112086,Garibaldi - Constitucion de 1917,METRO,"19.388092, -99.112086"
"{u'type': u'Point', u'coordinates': [-99.048743, 19.484987]}",14223,,Impulsora,Metro B,19.484987,-99.048743,Buenavista - Ciudad Azteca,METRO,"19.484987, -99.048743"
"{u'type': u'Point', u'coordinates': [-99.11989689, 19.42909974]}",14134,,Candelaria,Metro Linea 1 correspondencia con linea 4.,19.42909974,-99.11989689,Observatorio - Pantitlan,METRO,"19.42909974, -99.11989689"
"{u'type': u'Point', u'coordinates': [-99.18895841, 19.3614882]}",14080,,Barranca del Muerto,Metro 7,19.3614882,-99.18895841,Barranca del Muerto - El Rosario,METRO,"19.3614882, -99.18895841"
"{u'type': u'Point', u'coordinates': [-99.12543297, 19.4840507]}",14187,,Deptvo. 18 de Marzo,Metro Linea 3 correspondencia con linea 6.,19.4840507,-99.12543297,Indios Verdes - Universidad,METRO,"19.4840507, -99.12543297"
"{u'type': u'Point', u'coordinates': [-99.13542151, 19.40891333]}",14159,,Chabacano,Metro Linea 2 correspondencia con linea 8 y linea 9.,19.40891333,-99.13542151,Cuatro Caminos - Tasquena,METRO,"19.40891333, -99.13542151"
"{u'type': u'Point', u'coordinates': [-99.11348104, 19.455485]}",15154,,Consulado,Metro Linea 5 correspondencia con linea 4.,19.455485,-99.11348104,Pantitlan - Politecnico,METRO,"19.455485, -99.11348104"
"{u'type': u'Point', u'coordinates': [-99.06927824, 19.45807473]}",14219,,Bosque de Aragon,Metro B,19.45807473,-99.06927824,Buenavista - Ciudad Azteca,METRO,"19.45807473, -99.06927824"
"{u'type': u'Point', u'coordinates': [-99.13670897, 19.43547387]}",14163,,Allende,Metro 2,19.43547387,-99.13670897,Cuatro Caminos - Tasquena,METRO,"19.43547387, -99.13670897"
"{u'type': u'Point', u'coordinates': [-99.13268566, 19.42595305]}",14161,,Pino Suarez,Metro Linea 1 correspondencia con linea 2.,19.42595305,-99.13268566,Observatorio - Pantitlan,METRO,"19.42595305, -99.13268566"
"{u'type': u'Point', u'coordinates': [-99.13862944, 19.38746949]}",14092,,Villa de Cortes,Metro 2,19.38746949,-99.13862944,Cuatro Caminos - Tasquena,METRO,"19.38746949, -99.13862944"
"{u'type': u'Point', u'coordinates': [-99.13663387, 19.400746990000002]}",14056,,Viaducto,Metro 2,19.40074699,-99.13663387,Cuatro Caminos - Tasquena,METRO,"19.40074699, -99.13663387"
"{u'type': u'Point', u'coordinates': [-99.15479779, 19.49031142]}",14106,,Vallejo,Metro 6,19.49031142,-99.15479779,Martin Carrera - El Rosario,METRO,"19.49031142, -99.15479779"
"{u'type': u'Point', u'coordinates': [-99.11790133, 19.43973327]}",14182,,Morelos,Metro Linea 4 correspondencia con linea B.,19.43973327,-99.11790133,Martin Carrera - Santa Anita,METRO,"19.43973327, -99.11790133"
"{u'type': u'Point', u'coordinates': [-99.12203193, 19.41014786]}",14175,,Jamaica,Metro Linea 4 correspondencia con linea 9.,19.41014786,-99.12203193,Martin Carrera - Santa Anita,METRO,"19.41014786, -99.12203193"
"{u'type': u'Point', u'coordinates': [-99.1463542, 19.44522682]}",14166,,Guerrero,Metro Linea B correspondencia con linea 3.,19.44522682,-99.1463542,Buenavista - Ciudad Azteca,METRO,"19.44522682, -99.1463542"
"{u'type': u'Point', u'coordinates': [-99.08683062, 19.44572255]}",14072,,Oceania,Metro Linea B correspondencia con linea 5.,19.44572255,-99.08683062,Buenavista - Ciudad Azteca,METRO,"19.44572255, -99.08683062"
"{u'type': u'Point', u'coordinates': [-99.14335012, 19.42049932]}",14153,,Doctores,Metro 8,19.42049932,-99.14335012,Garibaldi - Constitucion de 1917,METRO,"19.42049932, -99.14335012"
"{u'type': u'Point', u'coordinates': [-99.11285877, 19.40820499]}",14177,,Mixiuhca,Metro 9,19.40820499,-99.11285877,Tacubaya - Pantitlan,METRO,"19.40820499, -99.11285877"
"{u'type': u'Point', u'coordinates': [-98.97670984, 19.35877546]}",14206,,Los Reyes,Metro A,19.35877546,-98.97670984,La Paz - Pantitlan,METRO,"19.35877546, -98.97670984"
"{u'type': u'Point', u'coordinates': [-99.16540861, 19.3705472]}",42432,,Zapata,Metro Linea 12 correspondencia con linea 3.,19.3705472,-99.16540861,Tlahuac - Mixcoac,METRO,"19.3705472, -99.16540861"
"{u'type': u'Point', u'coordinates': [-99.15531278, 19.40749665]}",14058,,Centro Medico,Metro Linea 3 correspondencia con linea 9.,19.40749665,-99.15531278,Indios Verdes - Universidad,METRO,"19.40749665, -99.15531278"
"{u'type': u'Point', u'coordinates': [-99.085872, 19.355601]}",14203,,Cerro de la Estrella,Metro 8,19.355601,-99.085872,Garibaldi - Constitucion de 1917,METRO,"19.355601, -99.085872"
"{u'type': u'Point', u'coordinates': [-99.1117537, 19.46450842]}",14102,,Bondojito,Metro 4,19.46450842,-99.1117537,Martin Carrera - Santa Anita,METRO,"19.46450842, -99.1117537"
"{u'type': u'Point', u'coordinates': [-99.05969739, 19.39821706]}",14071,,Canal de San Juan,Metro A,19.39821706,-99.05969739,La Paz - Pantitlan,METRO,"19.39821706, -99.05969739"
"{u'type': u'Point', u'coordinates': [-99.07505035, 19.41528826]}",14214,,Pantitlan,Metro Linea 5 correspondencia con lineas 1 9 y A.,19.41528826,-99.07505035,Pantitlan - Politecnico,METRO,"19.41528826, -99.07505035"
"{u'type': u'Point', u'coordinates': [-99.10259128, 19.3272315]}",14236,,San Andres Tomatlan,Metro 12,19.3272315,-99.10259128,Tlahuac - Mixcoac,METRO,"19.3272315, -99.10259128"
"{u'type': u'Point', u'coordinates': [-99.135489, 19.408513]}",14145,,Chabacano,Metro Linea 9 correspondencia con linea 2 y linea 8.,19.408513,-99.135489,Tacubaya - Pantitlan,METRO,"19.408513, -99.135489"
"{u'type': u'Point', u'coordinates': [-99.10544515, 19.45112485]}",14184,,Eduardo Molina,Metro 5,19.45112485,-99.10544515,Pantitlan - Politecnico,METRO,"19.45112485, -99.10544515"
"{u'type': u'Point', u'coordinates': [-99.09135818, 19.40811392]}",14069,,Ciudad Deportiva,Metro 9,19.40811392,-99.09135818,Tacubaya - Pantitlan,METRO,"19.40811392, -99.09135818"
"{u'type': u'Point', u'coordinates': [-99.214643, 19.458454]}",14117,,Cuatro Caminos,Metro 2,19.458454,-99.214643,Cuatro Caminos - Tasquena,METRO,"19.458454, -99.214643"
"{u'type': u'Point', u'coordinates': [-99.03579354, 19.38459525]}",14198,,Guelatao,Metro A,19.38459525,-99.03579354,La Paz - Pantitlan,METRO,"19.38459525, -99.03579354"
"{u'type': u'Point', u'coordinates': [-99.10599232, 19.4837675]}",14196,,Martin Carrera,Metro Linea 4 correspondencia con linea 6.,19.4837675,-99.10599232,Martin Carrera - Santa Anita,METRO,"19.4837675, -99.10599232"
"{u'type': u'Point', u'coordinates': [-99.11933, 19.438426]}",14051,,Morelos,Metro Linea B correspondencia con linea 4.,19.438426,-99.11933,Buenavista - Ciudad Azteca,METRO,"19.438426, -99.11933"
"{u'type': u'Point', u'coordinates': [-99.16325212, 19.42359552]}",14097,,Insurgentes,Metro 1,19.42359552,-99.16325212,Observatorio - Pantitlan,METRO,"19.42359552, -99.16325212"
"{u'type': u'Point', u'coordinates': [-99.13434863, 19.4875806]}",14195,,Lindavista,Metro 6,19.4875806,-99.13434863,Martin Carrera - El Rosario,METRO,"19.4875806, -99.13434863"
"{u'type': u'Point', u'coordinates': [-99.054375, 19.472534]}",14210,,Nezahualcoyotl,Metro B,19.472534,-99.054375,Buenavista - Ciudad Azteca,METRO,"19.472534, -99.054375"
"{u'type': u'Point', u'coordinates': [-99.109803, 19.426271]}",14173,,Moctezuma,Metro 1,19.426271,-99.109803,Observatorio - Pantitlan,METRO,"19.426271, -99.109803"
"{u'type': u'Point', u'coordinates': [-99.14155841, 19.43595951]}",14162,,Bellas Artes,Metro Linea 2 correspondencia con linea 8.,19.43595951,-99.14155841,Cuatro Caminos - Tasquena,METRO,"19.43595951, -99.14155841"
"{u'type': u'Point', u'coordinates': [-99.11589503, 19.44866652]}",14181,,Canal del Norte,Metro 4,19.44866652,-99.11589503,Martin Carrera - Santa Anita,METRO,"19.44866652, -99.11589503"
"{u'type': u'Point', u'coordinates': [-99.15289879, 19.44615757]}",14170,,Buenavista,Metro B,19.44615757,-99.15289879,Buenavista - Ciudad Azteca,METRO,"19.44615757, -99.15289879"
"{u'type': u'Point', u'coordinates': [-99.10554171, 19.48231101]}",14197,,Martin Carrera,Metro Linea 6 correspondencia con linea 4.,19.48231101,-99.10554171,Martin Carrera - El Rosario,METRO,"19.48231101, -99.10554171"
"{u'type': u'Point', u'coordinates': [-99.07262564, 19.4146103]}",14215,,Pantitlan,Metro Linea A correspondencia con lineas 1 5 y 9.,19.4146103,-99.07262564,La Paz - Pantitlan,METRO,"19.4146103, -99.07262564"
"{u'type': u'Point', u'coordinates': [-99.14130092, 19.36976784]}",14085,,Portales,Metro 2,19.36976784,-99.14130092,Cuatro Caminos - Tasquena,METRO,"19.36976784, -99.14130092"
"{u'type': u'Point', u'coordinates': [-99.04171586, 19.50096117]}",14221,,Muzquiz,Metro B,19.50096117,-99.04171586,Buenavista - Ciudad Azteca,METRO,"19.50096117, -99.04171586"
"{u'type': u'Point', u'coordinates': [-99.04621124, 19.29939771]}",14230,,Nopalera,Metro 12,19.29939771,-99.04621124,Tlahuac - Mixcoac,METRO,"19.29939771, -99.04621124"
"{u'type': u'Point', u'coordinates': [-99.19138312, 19.41129131]}",14116,,Constituyentes,Metro 7,19.41129131,-99.19138312,Barranca del Muerto - El Rosario,METRO,"19.41129131, -99.19138312"
"{u'type': u'Point', u'coordinates': [-99.087095, 19.423251]}",14213,,Hangares,Metro 5,19.423251,-99.087095,Pantitlan - Politecnico,METRO,"19.423251, -99.087095"
"{u'type': u'Point', u'coordinates': [-99.12120581, 19.40425847]}",14178,,Santa Anita,Metro Linea 4 correspondencia con lineas 8.,19.40425847,-99.12120581,Martin Carrera - Santa Anita,METRO,"19.40425847, -99.12120581"
"{u'type': u'Point', u'coordinates': [-99.19593215, 19.49448847]}",14128,,Tezozomoc,Metro 6,19.49448847,-99.19593215,Martin Carrera - El Rosario,METRO,"19.49448847, -99.19593215"
"{u'type': u'Point', u'coordinates': [-99.12576556, 19.48358544]}",14190,,Deptvo. 18 de Marzo,Metro Linea 6 correspondencia con linea 3.,19.48358544,-99.12576556,Martin Carrera - El Rosario,METRO,"19.48358544, -99.12576556"
"{u'type': u'Point', u'coordinates': [-99.10632491, 19.35264126]}",42427,,Atlalilco,Metro Linea 12 correspondencia con linea 8.,19.35264126,-99.10632491,Tlahuac - Mixcoac,METRO,"19.35264126, -99.10632491"
"{u'type': u'Point', u'coordinates': [-99.10894275, 19.33887391]}",14237,,Culhuacan,Metro 12,19.33887391,-99.10894275,Tlahuac - Mixcoac,METRO,"19.33887391, -99.10894275"
"{u'type': u'Point', u'coordinates': [-99.18823957, 19.40213338]}",14054,,Tacubaya,Metro Linea 1 correspondencia con linea 7 y linea 9.,19.40213338,-99.18823957,Observatorio - Pantitlan,METRO,"19.40213338, -99.18823957"
"{u'type': u'Point', u'coordinates': [-99.12136674, 19.40397512]}",14064,,Santa Anita,Metro Linea 8 correspondencia con linea 4.,19.40397512,-99.12136674,Garibaldi - Constitucion de 1917,METRO,"19.40397512, -99.12136674"
"{u'type': u'Point', u'coordinates': [-99.188501, 19.458383]}",14108,,Tacuba,Metro Linea 7 correspondencia con linea 2.,19.458383,-99.188501,Barranca del Muerto - El Rosario,METRO,"19.458383, -99.188501"
"{u'type': u'Point', u'coordinates': [-99.04635072, 19.49024062]}",14222,,Rio de los Remedios,Metro B,19.49024062,-99.04635072,Buenavista - Ciudad Azteca,METRO,"19.49024062, -99.04635072"
