Geometry,stop_id,stop_code,stop_station,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint
"{u'type': u'Point', u'coordinates': [-99.11815882, 19.4814715]}",14191,,La Villa-Basilica,Metro 6,19.4814715,-99.11815882,Martin Carrera - El Rosario,METRO,"19.4814715, -99.11815882"
"{u'type': u'Point', u'coordinates': [-99.18207049, 19.41290022]}",14120,,Juanacatlan,Metro 1,19.41290022,-99.18207049,Observatorio - Pantitlan,METRO,"19.41290022, -99.18207049"
"{u'type': u'Point', u'coordinates': [-99.065867, 19.306124]}",14232,,Tezonco,Metro 12,19.306124,-99.065867,Tlahuac - Mixcoac,METRO,"19.306124, -99.065867"
"{u'type': u'Point', u'coordinates': [-99.03298259, 19.52084286]}",14224,,Olimpica,Metro B,19.52084286,-99.03298259,Buenavista - Ciudad Azteca,METRO,"19.52084286, -99.03298259"
"{u'type': u'Point', u'coordinates': [-99.18661952, 19.38481791]}",14084,,San Antonio,Metro 7,19.38481791,-99.18661952,Barranca del Muerto - El Rosario,METRO,"19.38481791, -99.18661952"
"{u'type': u'Point', u'coordinates': [-99.17407751, 19.32433595]}",14076,,Universidad,Metro 3,19.32433595,-99.17407751,Indios Verdes - Universidad,METRO,"19.32433595, -99.17407751"
"{u'type': u'Point', u'coordinates': [-99.15617108, 19.39604129]}",14059,,Etiopia / Plaza de la Transpatencia,Metro 3,19.39604129,-99.15617108,Indios Verdes - Universidad,METRO,"19.39604129, -99.15617108"
"{u'type': u'Point', u'coordinates': [-99.10931826, 19.36449442]}",14088,,Escuadron 201,Metro 8,19.36449442,-99.10931826,Garibaldi - Constitucion de 1917,METRO,"19.36449442, -99.10931826"
"{u'type': u'Point', u'coordinates': [-99.07917023, 19.45077077]}",14220,,Deportivo Oceania,Metro B,19.45077077,-99.07917023,Buenavista - Ciudad Azteca,METRO,"19.45077077, -99.07917023"
"{u'type': u'Point', u'coordinates': [-99.09070373, 19.41608763]}",14052,,Gomez Farias,Metro 1,19.41608763,-99.09070373,Observatorio - Pantitlan,METRO,"19.41608763, -99.09070373"
"{u'type': u'Point', u'coordinates': [-99.14771676, 19.43336942]}",14138,,Juarez,Metro 3,19.43336942,-99.14771676,Indios Verdes - Universidad,METRO,"19.43336942, -99.14771676"
"{u'type': u'Point', u'coordinates': [-99.13574338, 19.40853892]}",14155,,Chabacano,Metro Linea 8 correspondencia con linea 2 y linea 9.,19.40853892,-99.13574338,Garibaldi - Constitucion de 1917,METRO,"19.40853892, -99.13574338"
"{u'type': u'Point', u'coordinates': [-99.09606814, 19.41958866]}",14053,,Blvd. Puerto Aereo,Metro 1,19.41958866,-99.09606814,Observatorio - Pantitlan,METRO,"19.41958866, -99.09606814"
"{u'type': u'Point', u'coordinates': [-99.1683054, 19.40575613]}",14110,,Chilpancingo,Metro 9,19.40575613,-99.1683054,Tacubaya - Pantitlan,METRO,"19.40575613, -99.1683054"
"{u'type': u'Point', u'coordinates': [-99.15504456, 19.40636329]}",14109,,Centro Medico,Metro Linea 9 correspondencia con linea 3.,19.40636329,-99.15504456,Tacubaya - Pantitlan,METRO,"19.40636329, -99.15504456"
"{u'type': u'Point', u'coordinates': [-99.11388874, 19.45682033]}",14185,,Consulado,Metro Linea 4 correspondencia con linea 5.,19.45682033,-99.11388874,Martin Carrera - Santa Anita,METRO,"19.45682033, -99.11388874"
"{u'type': u'Point', u'coordinates': [-99.18621182, 19.49067553]}",14129,,Azcapotzalco,Metro 6,19.49067553,-99.18621182,Martin Carrera - El Rosario,METRO,"19.49067553, -99.18621182"
"{u'type': u'Point', u'coordinates': [-99.14116144, 19.43098165]}",14142,,San Juan Letran,Metro 8,19.43098165,-99.14116144,Garibaldi - Constitucion de 1917,METRO,"19.43098165, -99.14116144"
"{u'type': u'Point', u'coordinates': [-99.18985963, 19.46911098]}",14107,,Refineria,Metro 7,19.46911098,-99.18985963,Barranca del Muerto - El Rosario,METRO,"19.46911098, -99.18985963"
"{u'type': u'Point', u'coordinates': [-99.072516, 19.414885]}",14226,,Pantitlan,Metro Linea 9 correspondencia con lineas 1 5 y A.,19.414885,-99.072516,Tacubaya - Pantitlan,METRO,"19.414885, -99.072516"
"{u'type': u'Point', u'coordinates': [-99.17542934, 19.35376487]}",14081,,Viveros,Metro 3,19.35376487,-99.17542934,Indios Verdes - Universidad,METRO,"19.35376487, -99.17542934"
"{u'type': u'Point', u'coordinates': [-99.14912224, 19.42729875]}",14157,,Balderas,Metro Linea 1 correspondencia con linea 3.,19.42729875,-99.14912224,Observatorio - Pantitlan,METRO,"19.42729875, -99.14912224"
"{u'type': u'Point', u'coordinates': [-99.1488111, 19.42692438]}",14139,,Balderas,Metro Linea 3 correspondencia con linea 1.,19.42692438,-99.1488111,Indios Verdes - Universidad,METRO,"19.42692438, -99.1488111"
"{u'type': u'Point', u'coordinates': [-99.140471, 19.478595]}",14193,,Autobuses del Norte,Metro 5,19.478595,-99.140471,Pantitlan - Politecnico,METRO,"19.478595, -99.140471"
"{u'type': u'Point', u'coordinates': [-99.00597811, 19.3642515]}",14204,,Acatitla,Metro A,19.3642515,-99.00597811,La Paz - Pantitlan,METRO,"19.3642515, -99.00597811"
"{u'type': u'Point', u'coordinates': [-99.14207339, 19.42720768]}",14158,,Salto del Agua,Metro Linea 8 correspondencia con linea 1.,19.42720768,-99.14207339,Garibaldi - Constitucion de 1917,METRO,"19.42720768, -99.14207339"
"{u'type': u'Point', u'coordinates': [-99.19079304, 19.43337954]}",14114,,Polanco,Metro 7,19.43337954,-99.19079304,Barranca del Muerto - El Rosario,METRO,"19.43337954, -99.19079304"
"{u'type': u'Point', u'coordinates': [-99.16249037, 19.48823803]}",14105,,Norte 45,Metro 6,19.48823803,-99.16249037,Martin Carrera - El Rosario,METRO,"19.48823803, -99.16249037"
"{u'type': u'Point', u'coordinates': [-99.20294, 19.458219]}",14111,,Panteones,Metro 2,19.458219,-99.20294,Cuatro Caminos - Tasquena,METRO,"19.458219, -99.20294"
"{u'type': u'Point', u'coordinates': [-99.181555, 19.45668]}",14125,,Cuitlahuac,Metro 2,19.45668,-99.181555,Cuatro Caminos - Tasquena,METRO,"19.45668, -99.181555"
"{u'type': u'Point', u'coordinates': [-99.113413, 19.39769]}",14065,,Coyuya,Metro 8,19.39769,-99.113413,Garibaldi - Constitucion de 1917,METRO,"19.39769, -99.113413"
"{u'type': u'Point', u'coordinates': [-99.17056918, 19.36142746]}",14078,,Coyoacan,Metro 3,19.36142746,-99.17056918,Indios Verdes - Universidad,METRO,"19.36142746, -99.17056918"
"{u'type': u'Point', u'coordinates': [-99.13904786, 19.46907052]}",14099,,La Raza,Metro Linea 3 correspondencia con linea 5.,19.46907052,-99.13904786,Indios Verdes - Universidad,METRO,"19.46907052, -99.13904786"
"{u'type': u'Point', u'coordinates': [-99.13429499, 19.4159055]}",14160,,San Antonio Abad,Metro 2,19.4159055,-99.13429499,Cuatro Caminos - Tasquena,METRO,"19.4159055, -99.13429499"
"{u'type': u'Point', u'coordinates': [-99.08322573, 19.41179726]}",14217,,Zaragoza,Metro 1,19.41179726,-99.08322573,Observatorio - Pantitlan,METRO,"19.41179726, -99.08322573"
"{u'type': u'Point', u'coordinates': [-99.10281658, 19.42288725]}",14172,,Balbuena,Metro 1,19.42288725,-99.10281658,Observatorio - Pantitlan,METRO,"19.42288725, -99.10281658"
"{u'type': u'Point', u'coordinates': [-99.09598231, 19.45101356]}",14060,,Aragon,Metro 5,19.45101356,-99.09598231,Pantitlan - Politecnico,METRO,"19.45101356, -99.09598231"
"{u'type': u'Point', u'coordinates': [-99.18774605, 19.37625563]}",14079,,Mixcoac,Metro Linea 7 correspondencia con linea 12.,19.37625563,-99.18774605,Tlahuac - Mixcoac,METRO,"19.37625563, -99.18774605"
"{u'type': u'Point', u'coordinates': [-99.09420133, 19.44048194]}",14073,,Romero Rubio,Metro B,19.44048194,-99.09420133,Buenavista - Ciudad Azteca,METRO,"19.44048194, -99.09420133"
"{u'type': u'Point', u'coordinates': [-99.19948339, 19.50522896]}",14127,,El Rosario,Metro Linea 6 correspondencia con linea 7.,19.50522896,-99.19948339,Martin Carrera - El Rosario,METRO,"19.50522896, -99.19948339"
"{u'type': u'Point', u'coordinates': [-99.139034, 19.443082]}",14169,,Garibaldi,Metro Linea 8 correspondencia con linea B.,19.443082,-99.139034,Garibaldi - Constitucion de 1917,METRO,"19.443082, -99.139034"
"{u'type': u'Point', u'coordinates': [-99.14433718, 19.40702104]}",14156,,Lazaro Cardenas,Metro 9,19.40702104,-99.14433718,Tacubaya - Pantitlan,METRO,"19.40702104, -99.14433718"
"{u'type': u'Point', u'coordinates': [-99.06114578, 19.4613523]}",14211,,Villa de Aragon,Metro B,19.4613523,-99.06114578,Buenavista - Ciudad Azteca,METRO,"19.4613523, -99.06114578"
"{u'type': u'Point', u'coordinates': [-99.03568625, 19.51470467]}",14225,,Tecnologico,Metro B,19.51470467,-99.03568625,Buenavista - Ciudad Azteca,METRO,"19.51470467, -99.03568625"
"{u'type': u'Point', u'coordinates': [-99.16094542, 19.44185787]}",14098,,San Cosme,Metro 2,19.44185787,-99.16094542,Cuatro Caminos - Tasquena,METRO,"19.44185787, -99.16094542"
"{u'type': u'Point', u'coordinates': [-99.074808, 19.350327]}",14201,,UAM I,Metro 8,19.350327,-99.074808,Garibaldi - Constitucion de 1917,METRO,"19.350327, -99.074808"
"{u'type': u'Point', u'coordinates': [-98.995894, 19.359804]}",14205,,Santa Marta,Metro A,19.359804,-98.995894,La Paz - Pantitlan,METRO,"19.359804, -98.995894"
"{u'type': u'Point', u'coordinates': [-99.19173717, 19.42530549]}",14115,,Auditorio,Metro 7,19.42530549,-99.19173717,Barranca del Muerto - El Rosario,METRO,"19.42530549, -99.19173717"
"{u'type': u'Point', u'coordinates': [-99.10739779, 19.37292574]}",14087,,Aculco,Metro 8,19.37292574,-99.10739779,Garibaldi - Constitucion de 1917,METRO,"19.37292574, -99.10739779"
"{u'type': u'Point', u'coordinates': [-99.13303971, 19.42543703]}",14137,,Pino Suarez,Metro Linea 2 correspondencia con linea 1.,19.42543703,-99.13303971,Cuatro Caminos - Tasquena,METRO,"19.42543703, -99.13303971"
"{u'type': u'Point', u'coordinates': [-99.08820391, 19.43380448]}",14212,,Terminal Aerea,Metro 5,19.43380448,-99.08820391,Pantitlan - Politecnico,METRO,"19.43380448, -99.08820391"
"{u'type': u'Point', u'coordinates': [-99.17074084, 19.42189565]}",14118,,Sevilla,Metro 1,19.42189565,-99.17074084,Observatorio - Pantitlan,METRO,"19.42189565, -99.17074084"
"{u'type': u'Point', u'coordinates': [-99.12323356, 19.44256606]}",14148,,Tepito,Metro B,19.44256606,-99.12323356,Buenavista - Ciudad Azteca,METRO,"19.44256606, -99.12323356"
"{u'type': u'Point', u'coordinates': [-99.20029879, 19.5039547]}",14130,,El Rosario,Metro Linea 7 correspondencia con linea 6.,19.5039547,-99.20029879,Barranca del Muerto - El Rosario,METRO,"19.5039547, -99.20029879"
"{u'type': u'Point', u'coordinates': [-99.14501309, 19.44475133]}",14164,,Guerrero,Metro Linea 3 correspondencia con linea B.,19.44475133,-99.14501309,Indios Verdes - Universidad,METRO,"19.44475133, -99.14501309"
"{u'type': u'Point', u'coordinates': [-99.12033677, 19.42149092]}",14174,,Fray Servando,Metro 4,19.42149092,-99.12033677,Martin Carrera - Santa Anita,METRO,"19.42149092, -99.12033677"
"{u'type': u'Point', u'coordinates': [-99.119141, 19.495315]}",14186,,Indios Verdes,Metro 3,19.495315,-99.119141,Indios Verdes - Universidad,METRO,"19.495315, -99.119141"
"{u'type': u'Point', u'coordinates': [-99.1448307, 19.36030391]}",42430,,Ermita,Metro Linea 12,19.36030391,-99.1448307,Tlahuac - Mixcoac,METRO,"19.36030391, -99.1448307"
"{u'type': u'Point', u'coordinates': [-99.15724397, 19.38628539]}",14074,,Eugenia,Metro 3,19.38628539,-99.15724397,Indios Verdes - Universidad,METRO,"19.38628539, -99.15724397"
"{u'type': u'Point', u'coordinates': [-99.15766239, 19.37046623]}",14240,,Parque de los Venados,Metro 12,19.37046623,-99.15766239,Tlahuac - Mixcoac,METRO,"19.37046623, -99.15766239"
"{u'type': u'Point', u'coordinates': [-99.1784656, 19.40559422]}",14121,,Patriotismo,Metro 9,19.40559422,-99.1784656,Tacubaya - Pantitlan,METRO,"19.40559422, -99.1784656"
"{u'type': u'Point', u'coordinates': [-99.13051844, 19.46290002]}",14104,,Misterios,Metro 5,19.46290002,-99.13051844,Pantitlan - Politecnico,METRO,"19.46290002, -99.13051844"
"{u'type': u'Point', u'coordinates': [-99.200669, 19.397486]}",14055,,Observatorio,Metro 1,19.397486,-99.200669,Observatorio - Pantitlan,METRO,"19.397486, -99.200669"
"{u'type': u'Point', u'coordinates': [-99.096696, 19.322002]}",14235,,Lomas Estrella,Metro 12,19.322002,-99.096696,Tlahuac - Mixcoac,METRO,"19.322002, -99.096696"
"{u'type': u'Point', u'coordinates': [-98.96061659, 19.35048513]}",14207,,La Paz,Metro A,19.35048513,-98.96061659,La Paz - Pantitlan,METRO,"19.35048513, -98.96061659"
"{u'type': u'Point', u'coordinates': [-99.1430819, 19.45520174]}",14100,,Tlatelolco,Metro 3,19.45520174,-99.1430819,Indios Verdes - Universidad,METRO,"19.45520174, -99.1430819"
"{u'type': u'Point', u'coordinates': [-99.125973, 19.406106]}",14143,,La Viga,Metro 8,19.406106,-99.125973,Garibaldi - Constitucion de 1917,METRO,"19.406106, -99.125973"
"{u'type': u'Point', u'coordinates': [-99.17546153, 19.45261196]}",14123,,Popotla,Metro 2,19.45261196,-99.17546153,Cuatro Caminos - Tasquena,METRO,"19.45261196, -99.17546153"
"{u'type': u'Point', u'coordinates': [-99.074719, 19.317492]}",14233,,Periferico Oriente,Metro 12,19.317492,-99.074719,Tlahuac - Mixcoac,METRO,"19.317492, -99.074719"
"{u'type': u'Point', u'coordinates': [-99.05831337, 19.30328601]}",14231,,Olivos,Metro 12,19.30328601,-99.05831337,Tlahuac - Mixcoac,METRO,"19.30328601, -99.05831337"
"{u'type': u'Point', u'coordinates': [-99.11457539, 19.43079953]}",14179,,San Lazaro,Metro Linea 1 correspondencia con linea B.,19.43079953,-99.11457539,Observatorio - Pantitlan,METRO,"19.43079953, -99.11457539"
"{u'type': u'Point', u'coordinates': [-99.114463, 19.431822]}",14147,,San Lazaro,Metro Linea B correspondencia con linea 1.,19.431822,-99.114463,Buenavista - Ciudad Azteca,METRO,"19.431822, -99.114463"
"{u'type': u'Point', u'coordinates': [-99.03402328, 19.29639028]}",14229,,Zapotitlan,Metro 12,19.29639028,-99.03402328,Tlahuac - Mixcoac,METRO,"19.29639028, -99.03402328"
"{u'type': u'Point', u'coordinates': [-99.01443243, 19.28680057]}",14227,,Tlahuac,Metro 12,19.28680057,-99.01443243,Tlahuac - Mixcoac,METRO,"19.28680057, -99.01443243"
"{u'type': u'Point', u'coordinates': [-99.14730906, 19.4376997]}",14167,,Hidalgo,Metro Linea 2 correspondencia con linea 3.,19.4376997,-99.14730906,Cuatro Caminos - Tasquena,METRO,"19.4376997, -99.14730906"
"{u'type': u'Point', u'coordinates': [-99.10157204, 19.35570839]}",14066,,Atlalilco,Metro Linea 8 correspondencia con linea 12.,19.35570839,-99.10157204,Garibaldi - Constitucion de 1917,METRO,"19.35570839, -99.10157204"
"{u'type': u'Point', u'coordinates': [-99.11890984, 19.42917056]}",42487,,Candelaria,Metro Linea 4 correspondencia con linea 1.,19.42917056,-99.11890984,Martin Carrera - Santa Anita,METRO,"19.42917056, -99.11890984"
"{u'type': u'Point', u'coordinates': [-99.194511, 19.489367]}",14131,,Aquiles Serdan,Metro 7,19.489367,-99.194511,Barranca del Muerto - El Rosario,METRO,"19.489367, -99.194511"
"{u'type': u'Point', u'coordinates': [-99.02711391, 19.53444312]}",14208,,Ciudad Azteca,Metro B,19.53444312,-99.02711391,Buenavista - Ciudad Azteca,METRO,"19.53444312, -99.02711391"
"{u'type': u'Point', u'coordinates': [-99.18894768, 19.47873042]}",14132,,Camarones,Metro 7,19.47873042,-99.18894768,Barranca del Muerto - El Rosario,METRO,"19.47873042, -99.18894768"
"{u'type': u'Point', u'coordinates': [-99.14331794, 19.42698509]}",42338,,Salto del Agua,Metro Linea 1 correspondencia con linea 8.,19.42698509,-99.14331794,Observatorio - Pantitlan,METRO,"19.42698509, -99.14331794"
"{u'type': u'Point', u'coordinates': [-99.18572903, 19.39122414]}",14063,,San Pedro los Pinos,Metro 7,19.39122414,-99.18572903,Barranca del Muerto - El Rosario,METRO,"19.39122414, -99.18572903"
"{u'type': u'Point', u'coordinates': [-99.10342813, 19.43628327]}",14146,,Ricardo Flores Magon,Metro B,19.43628327,-99.10342813,Buenavista - Ciudad Azteca,METRO,"19.43628327, -99.10342813"
"{u'type': u'Point', u'coordinates': [-99.023829, 19.294555]}",14228,,Tlaltenco,Metro 12,19.294555,-99.023829,Tlahuac - Mixcoac,METRO,"19.294555, -99.023829"
"{u'type': u'Point', u'coordinates': [-99.09341812, 19.35760127]}",14067,,Iztapalapa,Metro 8,19.35760127,-99.09341812,Garibaldi - Constitucion de 1917,METRO,"19.35760127, -99.09341812"
"{u'type': u'Point', u'coordinates': [-99.17859435, 19.37360387]}",14242,,Insurgentes Sur,Metro 12,19.37360387,-99.17859435,Tlahuac - Mixcoac,METRO,"19.37360387, -99.17859435"
"{u'type': u'Point', u'coordinates': [-99.14061427, 19.43649573]}",14141,,Bellas Artes,Metro Linea 8 correspondencia con linea 2.,19.43649573,-99.14061427,Garibaldi - Constitucion de 1917,METRO,"19.43649573, -99.14061427"
"{u'type': u'Point', u'coordinates': [-99.15389657, 19.43880248]}",14050,,Revolucion,Metro 2,19.43880248,-99.15389657,Cuatro Caminos - Tasquena,METRO,"19.43880248, -99.15389657"
"{u'type': u'Point', u'coordinates': [-99.14392948, 19.41301153]}",14154,,Obrera,Metro 8,19.41301153,-99.14392948,Garibaldi - Constitucion de 1917,METRO,"19.41301153, -99.14392948"
"{u'type': u'Point', u'coordinates': [-99.02979612, 19.52822456]}",14209,,Plaza Aragon,Metro B,19.52822456,-99.02979612,Buenavista - Ciudad Azteca,METRO,"19.52822456, -99.02979612"
"{u'type': u'Point', u'coordinates': [-99.0172863, 19.37291562]}",14199,,Penon Viejo,Metro A,19.37291562,-99.0172863,La Paz - Pantitlan,METRO,"19.37291562, -99.0172863"
"{u'type': u'Point', u'coordinates': [-99.139954, 19.443376]}",14165,,Garibaldi,Metro Linea B correspondencia con linea 8.,19.443376,-99.139954,Buenavista - Ciudad Azteca,METRO,"19.443376, -99.139954"
"{u'type': u'Point', u'coordinates': [-99.15950775, 19.3789276]}",14083,,Division del Norte,Metro 3,19.3789276,-99.15950775,Indios Verdes - Universidad,METRO,"19.3789276, -99.15950775"
"{u'type': u'Point', u'coordinates': [-99.13782477, 19.4260947]}",14149,,Isabel la Catolica,Metro 1,19.4260947,-99.13782477,Observatorio - Pantitlan,METRO,"19.4260947, -99.13782477"
"{u'type': u'Point', u'coordinates': [-99.12541151, 19.42546738]}",14135,,Merced,Metro 1,19.42546738,-99.12541151,Observatorio - Pantitlan,METRO,"19.42546738, -99.12541151"
"{u'type': u'Point', u'coordinates': [-99.1671896, 19.44424548]}",14126,,Normal,Metro 2,19.44424548,-99.1671896,Cuatro Caminos - Tasquena,METRO,"19.44424548, -99.1671896"
"{u'type': u'Point', u'coordinates': [-99.18664098, 19.40223457]}",14062,,Tacubaya,Metro Linea 7 correspondencia con linea 1 y linea 9.,19.40223457,-99.18664098,Barranca del Muerto - El Rosario,METRO,"19.40223457, -99.18664098"
"{u'type': u'Point', u'coordinates': [-99.18734908, 19.40192086]}",14122,,Tacubaya,Metro Linea 9 correspondencia con linea 1 y linea 7.,19.40192086,-99.18734908,Tacubaya - Pantitlan,METRO,"19.40192086, -99.18734908"
"{u'type': u'Point', u'coordinates': [-99.1645503, 19.37073951]}",14077,,Zapata,Metro Linea 3 correspondencia con linea 12.,19.37073951,-99.1645503,Indios Verdes - Universidad,METRO,"19.37073951, -99.1645503"